Adam_Donachie,BAL,Catcher,74.0,180.0,22.0
Paul_Bako,BAL,Catcher,74.0,215.0,34.0
Ramon_Hernandez,BAL,Catcher,72.0,210.0,30.0
Kevin_Millar,BAL,First_Baseman,72.0,210.0,35.0
Chris_Gomez,BAL,First_Baseman,73.0,188.0,35.0
Brian_Roberts,BAL,Second_Baseman,69.0,176.0,29.0
Miguel_Tejada,BAL,Shortstop,69.0,209.0,30.0
Melvin_Mora,BAL,Third_Baseman,71.0,200.0,35.0
Aubrey_Huff,BAL,Third_Baseman,76.0,231.0,30.0
Adam_Stern,BAL,Outfielder,71.0,180.0,27.0
Jeff_Fiorentino,BAL,Outfielder,73.0,188.0,23.0
Freddie_Bynum,BAL,Outfielder,73.0,180.0,26.0
Nick_Markakis,BAL,Outfielder,74.0,185.0,23.0
Brandon_Fahey,BAL,Outfielder,74.0,160.0,26.0
Corey_Patterson,BAL,Outfielder,69.0,180.0,27.0
Jay_Payton,BAL,Outfielder,70.0,185.0,34.0
Jay_Gibbons,BAL,Designated_Hitter,72.0,197.0,30.0
Erik_Bedard,BAL,Starting_Pitcher,73.0,189.0,27.0
Hayden_Penn,BAL,Starting_Pitcher,75.0,185.0,22.0
Adam_Loewen,BAL,Starting_Pitcher,78.0,219.0,22.0
Daniel_Cabrera,BAL,Starting_Pitcher,79.0,230.0,25.0
Steve_Trachsel,BAL,Starting_Pitcher,76.0,205.0,36.0
Jaret_Wright,BAL,Starting_Pitcher,74.0,230.0,31.0
Kris_Benson,BAL,Starting_Pitcher,76.0,195.0,32.0
Scott_Williamson,BAL,Relief_Pitcher,72.0,180.0,31.0
John_Parrish,BAL,Relief_Pitcher,71.0,192.0,29.0
Danys_Baez,BAL,Relief_Pitcher,75.0,225.0,29.0
Chad_Bradford,BAL,Relief_Pitcher,77.0,203.0,32.0
Jamie_Walker,BAL,Relief_Pitcher,74.0,195.0,35.0
Brian_Burres,BAL,Relief_Pitcher,73.0,182.0,25.0
Kurt_Birkins,BAL,Relief_Pitcher,74.0,188.0,26.0
James_Hoey,BAL,Relief_Pitcher,78.0,200.0,24.0
Sendy_Rleal,BAL,Relief_Pitcher,73.0,180.0,26.0
Chris_Ray,BAL,Relief_Pitcher,75.0,200.0,25.0
Jeremy_Guthrie,BAL,Relief_Pitcher,73.0,200.0,27.0
A.J._Pierzynski,CWS,Catcher,75.0,245.0,30.0
Toby_Hall,CWS,Catcher,75.0,240.0,31.0
Paul_Konerko,CWS,First_Baseman,74.0,215.0,30.0
Tadahito_Iguchi,CWS,Second_Baseman,69.0,185.0,32.0
Juan_Uribe,CWS,Shortstop,71.0,175.0,27.0
Alex_Cintron,CWS,Shortstop,74.0,199.0,28.0
Joe_Crede,CWS,Third_Baseman,73.0,200.0,28.0
Josh_Fields,CWS,Third_Baseman,73.0,215.0,24.0
Ryan_Sweeney,CWS,Outfielder,76.0,200.0,22.0
Brian_N._Anderson,CWS,Outfielder,74.0,205.0,24.0
Luis_Terrero,CWS,Outfielder,74.0,206.0,26.0
Pablo_Ozuna,CWS,Outfielder,70.0,186.0,32.0
Scott_Podsednik,CWS,Outfielder,72.0,188.0,30.0
Jermaine_Dye,CWS,Outfielder,77.0,220.0,33.0
Darin_Erstad,CWS,Outfielder,74.0,210.0,32.0
Rob_Mackowiak,CWS,Outfielder,70.0,195.0,30.0
Jim_Thome,CWS,Designated_Hitter,76.0,244.0,36.0
Jerry_Owens,CWS,Designated_Hitter,75.0,195.0,26.0
Charlie_Haeger,CWS,Starting_Pitcher,73.0,200.0,23.0
Heath_Phillips,CWS,Starting_Pitcher,75.0,200.0,24.0
Gavin_Floyd,CWS,Starting_Pitcher,76.0,212.0,24.0
Jose_Contreras,CWS,Starting_Pitcher,76.0,224.0,35.0
Jon_Garland,CWS,Starting_Pitcher,78.0,210.0,27.0
Javier_Vazquez,CWS,Starting_Pitcher,74.0,205.0,30.0
Mark_Buehrle,CWS,Starting_Pitcher,74.0,220.0,27.0
Mike_MacDougal,CWS,Relief_Pitcher,76.0,195.0,29.0
David_Aardsma,CWS,Relief_Pitcher,77.0,200.0,25.0
Andrew_Sisco,CWS,Relief_Pitcher,81.0,260.0,24.0
Matt_Thornton,CWS,Relief_Pitcher,78.0,228.0,30.0
Bobby_Jenks,CWS,Relief_Pitcher,75.0,270.0,25.0
Boone_Logan,CWS,Relief_Pitcher,77.0,200.0,22.0
Sean_Tracey,CWS,Relief_Pitcher,75.0,210.0,26.0
Nick_Masset,CWS,Relief_Pitcher,76.0,190.0,24.0
Jose_Molina,ANA,Catcher,74.0,220.0,31.0
Jeff_Mathis,ANA,Catcher,72.0,180.0,23.0
Mike_Napoli,ANA,Catcher,72.0,205.0,25.0
Casey_Kotchman,ANA,First_Baseman,75.0,210.0,24.0
Kendry_Morales,ANA,First_Baseman,73.0,220.0,23.0
Shea_Hillenbrand,ANA,First_Baseman,73.0,211.0,31.0
Robb_Quinlan,ANA,First_Baseman,73.0,200.0,29.0
Howie_Kendrick,ANA,First_Baseman,70.0,180.0,23.0
Orlando_Cabrera,ANA,Shortstop,70.0,190.0,32.0
Erick_Aybar,ANA,Shortstop,70.0,170.0,23.0
Dallas_McPherson,ANA,Third_Baseman,76.0,230.0,26.0
Maicer_Izturis,ANA,Third_Baseman,68.0,155.0,26.0
Reggie_Willits,ANA,Outfielder,71.0,185.0,25.0
Tommy_Murphy,ANA,Outfielder,72.0,185.0,27.0
Terry_Evans,ANA,Outfielder,75.0,200.0,25.0
Gary_Matthews_Jr.,ANA,Outfielder,75.0,225.0,32.0
Garret_Anderson,ANA,Outfielder,75.0,225.0,34.0
Vladimir_Guerrero,ANA,Outfielder,75.0,220.0,31.0
Chone_Figgins,ANA,Outfielder,68.0,160.0,29.0
Juan_Rivera,ANA,Outfielder,74.0,205.0,28.0
John_Lackey,ANA,Starting_Pitcher,78.0,235.0,28.0
Bartolo_Colon,ANA,Starting_Pitcher,71.0,250.0,33.0
Kelvim_Escobar,ANA,Starting_Pitcher,73.0,210.0,30.0
Dustin_Moseley,ANA,Starting_Pitcher,76.0,190.0,37.0
Ervin_Santana,ANA,Starting_Pitcher,74.0,160.0,24.0
Joe_Saunders,ANA,Starting_Pitcher,74.0,200.0,25.0
Jered_Weaver,ANA,Starting_Pitcher,79.0,205.0,24.0
